Symbol,Name,Division
 EE 325, Electromagnetic Engineering  , Upper Division 
 EE 325K, Antennas and Wireless Propagation  , Upper Division 
 EE 351M, Digital Signal Processing  , Upper Division 
 EE 360C, Algorithms  , Upper Division 
 EE 360K, Introduction to Digital Communications  , Upper Division 
 EE 362K, Introduction to Automatic Control  , Upper Division 
 EE 363M, Microwave and Radio Frequency Engineering  , Upper Division 
 EE 371R/ EE 371Q, Digital Image and Video Processing  , Upper Division 
 EE 445S, Real-Time Digital Sig Proc Lab  , Upper Division 
 EE 460J, Data Science Laboratory   , Upper Division 
 EE 461P, Data Science Principles  , Upper Division 
 EE 471C, Wireless Communications Laboratory  , Upper Division 
