Symbol,Name,Division
 EE 316, Digital Logic Design  , Lower Division 
 EE 360C, Algorithms  , Upper Division 
 EE 360P, Concurrent and Distributed Systems  , Upper Division 
 EE 361C, Multicore Computing  , Upper Division 
 EE 362K, Introduction to Automatic Control  , Upper Division 
 EE 379K, Topics in Electrical Engineering  , Upper Division 
 EE 422C, Software Design and Implementation II   , Upper Division 
 EE 445L, Embedded Systems Design Lab  , Upper Division 
 EE 445M, Embedded and Real-Time Systems Laboratory  , Upper Division 
 EE 445S, Real-Time Digital Sig Proc Lab  , Upper Division 
 EE 460M, Digital Systems Design Using HDL  , Upper Division 
 EE 460N, Computer Architecture  , Upper Division 
 EE 460R, Introduction to VLSI Design  , Upper Division 
 EE 461S, Operating Systems  , Upper Division 
