Symbol,Name,Division
 EE 316, Digital Logic Design  , Lower Division 
 EE 325, Electromagnetic Engineering  , Upper Division 
 EE 338L, Analog Integrated Circuit Design  , Upper Division 
 EE 339, Solid-State Electronic Devices  , Upper Division 
 EE 361R, Radio-Frequency Electronics  , Upper Division 
 EE 363M, Microwave and Radio Frequency Engineering  , Upper Division 
 EE 374K, Biomedical Electronics Instrument Design  , Upper Division 
 EE 374L, Applications of Biomedical Engineering  , Upper Division 
 EE 438, Fundamentals Electronic Circuits  , Upper Division 
 EE 438K, Analog Electronics  , Upper Division 
 EE 440, Integrated Circuit Nanomanufacturing Techniques  , Upper Division 
 EE 445L, Embedded Systems Design Lab  , Upper Division 
 EE 445S, Real-Time Digital Sig Proc Lab  , Upper Division 
 EE 460M, Digital Systems Design Using HDL  , Upper Division 
 EE 460N, Computer Architecture  , Upper Division 
 EE 460R, Introduction to VLSI Design  , Upper Division 
