Symbol,Name,Division
 EE 325, Electromagnetic Engineering  , Upper Division 
 EE 325K, Antennas and Wireless Propagation  , Upper Division 
 EE 334K, Quantum Theory Electronic Materials  , Upper Division 
 EE 339, Solid-State Electronic Devices  , Upper Division 
 EE 341, Electric Drives and Machines  , Upper Division 
 EE 347, Modern Optics  , Upper Division 
 EE 348, Laser and Optical Engineering  , Upper Division 
 EE 361R, Radio-Frequency Electronics  , Upper Division 
 EE 363M, Microwave and Radio Frequency Engineering  , Upper Division 
 EE 363N, Engineering Acoustics  , Upper Division 
 EE 369, Power Systems Engineering  , Upper Division 
 EE 374K, Biomedical Electronics Instrument Design  , Upper Division 
 EE 374L, Applications of Biomedical Engineering  , Upper Division 
 EE 438, Fundamentals Electronic Circuits  , Upper Division 
 EE 462L, Power Electronics Laboratory  , Upper Division 
