Symbol,Name,Division
 EE 325, Electromagnetic Engineering  , Upper Division 
 EE 334K, Quantum Theory Electronic Materials  , Upper Division 
 EE 338L, Analog Integrated Circuit Design  , Upper Division 
 EE 339, Solid-State Electronic Devices  , Upper Division 
 EE 339S, Solar Energy Conversion Devices  , Upper Division 
 EE 340P, High -Throughput Nanopatterning   , Upper Division 
 EE 347, Modern Optics  , Upper Division 
 EE 348, Laser and Optical Engineering  , Upper Division 
 EE 379K, Topics in Electrical Engineering  , Upper Division 
 EE 438, Fundamentals Electronic Circuits  , Upper Division 
 EE 440, Integrated Circuit Nanomanufacturing Techniques  , Upper Division 
 EE 460R, Introduction to VLSI Design  , Upper Division 
